year,region,value
2017,Germany,59064.0
2017,Greece,191.0
2017,Iceland,3058.0
2017,India,918.0
2017,Italy,5444.0
2017,Japan,54435.0
2017,Korea,14640.0
2017,Mexico,1202.0
2017,Netherlands,10959.0
2017,New Zealand,3473.0
2017,Norway,63041.0
2017,Other Europe,13532.0
2017,Poland,1631.0
2017,Portugal,4590.0
2017,South Africa,195.0
2017,Spain,8460.0
2017,Sweden,20553.0
2017,Switzerland,8610.0
2017,USA,198349.0
2017,United Kingdom,48575.59961
2018,Australia,3605.0
2018,Belgium,13890.0
2018,Brazil,305.0
2018,Canada,44169.0
2018,Chile,177.0
2018,China,1283089.00005
2018,Denmark,4897.0
2018,Finland,5765.0
2018,France,54902.0
2018,Germany,72896.0
2018,Greece,328.0
2018,Iceland,3713.0
2018,India,915.0
2018,Italy,10448.0
2018,Japan,50038.0
2018,Korea,60203.0
2018,Mexico,1785.0
2018,Netherlands,29118.0
2018,New Zealand,5552.0
2018,Norway,74458.0
2018,Other Europe,18954.0
2018,Poland,2262.0
2018,Portugal,8602.0
2018,South Africa,148.0
2018,Spain,13373.0
2018,Sweden,31486.0
2018,Switzerland,9787.0
2018,USA,361315.0
2018,United Kingdom,51819.06055
2019,Australia,9160.0
2019,Belgium,18243.0
2019,Brazil,1911.0
2019,Canada,51012.0
2019,Chile,298.0
2019,China,1202303.00293
2019,Denmark,9783.0
2019,Finland,7980.0
2019,France,69654.0
2019,Germany,114246.0
2019,Greece,492.0
2019,Iceland,2712.0
2019,India,688.0
2019,Italy,18221.0
2019,Japan,39429.0
2019,Korea,37793.0
2019,Mexico,720.0
2019,Netherlands,69270.0
2019,New Zealand,7001.0
2019,Norway,81552.0
2019,Other Europe,29207.0
2019,Poland,4464.0
2019,Portugal,12909.0
2019,South Africa,228.0
2019,Spain,19141.0
2019,Sweden,42235.0
2019,Switzerland,18099.0
2019,USA,326644.0
2019,United Kingdom,78197.0
2020,Australia,6938.0
2020,Belgium,48571.0
2020,Brazil,2452.0
2020,Canada,54453.0
2020,Chile,191.0
2020,China,1276082.0009789001
2020,Denmark,33109.0
2020,Finland,17674.0
2020,France,193691.0
2020,Germany,404750.0
2020,Greece,2152.0
2020,Iceland,4958.0
2020,India,3165.0
2020,Italy,61090.0
2020,Japan,30495.0
2020,Korea,55408.0
2020,Mexico,2516.0
2020,Netherlands,90390.0
2020,New Zealand,5486.0
2020,Norway,108128.0
2020,Other Europe,59274.0
2020,Poland,10690.0
2020,Portugal,20261.0
2020,South Africa,241.0
2020,Spain,43763.0
2020,Sweden,96362.0
2020,Switzerland,34612.0
2020,USA,295399.0
2020,United Kingdom,181143.0
2021,Australia,20700.0
2021,Belgium,71489.0
2021,Brazil,7254.0
2021,Canada,93152.0
2021,Chile,566.0
2021,China,3519053.727786
2021,Denmark,67675.0
2021,Finland,30885.0
2021,France,322043.0
2021,Germany,695657.0
2021,Greece,7067.0
2021,Iceland,9150.0
2021,India,11739.0
2021,Italy,141615.0
2021,Japan,45183.0
2021,Korea,119402.0
2021,Mexico,4290.0
2021,Netherlands,97282.0
2021,New Zealand,10574.0
2021,Norway,153699.0
2021,Other Europe,110022.0
2021,Poland,18907.0
2021,Portugal,29568.0
2021,South Africa,269.0
2021,Spain,70276.0
2021,Sweden,138771.0
2021,Switzerland,54891.0
2021,USA,631152.0
2021,United Kingdom,326990.0
